epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.899,1.77993,4.39232,2.06426,1.75198,0.66284,0.72472,0.68278,0.24092,0.5705,0.59551,0.54027,0.14343,2.06547,3.78274,1.83598,1.99967,0.000662921,0.000662921,0.000662921
2,358.801,1.71909,3.62915,1.72128,1.63505,0.77321,0.75281,0.76669,0.35184,0.6604,0.6555,0.61772,0.17984,1.59481,3.68275,1.51909,1.56846,0.00128571,0.00128571,0.00128571
3,514.953,1.7561,3.55691,1.68411,1.60747,0.83184,0.75843,0.81636,0.41185,0.79218,0.7191,0.75086,0.28103,1.60096,3.5081,1.53724,1.61125,0.0018645,0.0018645,0.0018645
4,664.643,1.74342,3.51213,1.61109,1.60697,0.81201,0.84831,0.87802,0.39583,0.7344,0.75281,0.73825,0.20645,1.69041,4.09644,1.39026,1.56897,0.001802,0.001802,0.001802
5,823.211,1.73017,3.50904,1.55061,1.61096,0.84093,0.88202,0.89258,0.45192,0.80137,0.77064,0.7925,0.28926,1.56429,3.33616,1.36281,1.46707,0.001736,0.001736,0.001736
6,1003.8,1.7201,3.4736,1.54593,1.59796,0.87344,0.89888,0.91292,0.40715,0.80773,0.82604,0.83089,0.27464,1.62819,3.51167,1.40198,1.54859,0.00167,0.00167,0.00167
7,1154.88,1.673,3.42101,1.49513,1.56437,0.84499,0.8427,0.87447,0.38077,0.83023,0.82422,0.86182,0.32465,1.77976,3.29024,1.18156,1.59485,0.001604,0.001604,0.001604
8,1319.52,1.61468,3.32034,1.41715,1.49795,0.9067,0.92135,0.95726,0.54204,0.89533,0.81691,0.87056,0.35132,1.44726,3.1478,0.9721,1.38113,0.001538,0.001538,0.001538
9,1499.91,1.60893,3.33657,1.37808,1.49432,0.92242,0.8764,0.94316,0.49796,0.90632,0.83146,0.90035,0.33611,1.53887,3.24171,0.98524,1.47454,0.001472,0.001472,0.001472
10,1691.56,1.60669,3.32415,1.34896,1.49759,0.91503,0.88764,0.92869,0.52514,0.90085,0.84831,0.88318,0.37791,1.42489,3.19929,1.01121,1.36788,0.001406,0.001406,0.001406
11,1861.45,1.64012,3.34861,1.38274,1.5146,0.90276,0.88764,0.94101,0.51761,0.8344,0.81461,0.86292,0.31364,1.46392,3.28293,1.0059,1.40041,0.00134,0.00134,0.00134
12,2038.23,1.57235,3.24811,1.32286,1.47489,0.83853,0.90442,0.90046,0.51893,0.8326,0.83827,0.83927,0.34145,1.47878,3.28385,1.03837,1.40378,0.001274,0.001274,0.001274
13,2205.51,1.54194,3.2737,1.29429,1.46237,0.90082,0.92697,0.93675,0.4873,0.83295,0.84036,0.85122,0.28393,1.57603,3.25016,0.94329,1.4645,0.001208,0.001208,0.001208
14,2359.13,1.56432,3.24477,1.32744,1.48235,0.8824,0.92697,0.9473,0.50906,0.82781,0.81027,0.82463,0.28679,1.52891,3.5882,0.91202,1.43057,0.001142,0.001142,0.001142
15,2519.24,1.5805,3.27809,1.27148,1.47845,0.9061,0.93258,0.94682,0.53883,0.86538,0.86677,0.88418,0.35902,1.43862,3.26874,0.85578,1.38064,0.001076,0.001076,0.001076
16,2668.5,1.53742,3.19222,1.28567,1.46478,0.88588,0.91585,0.9349,0.53592,0.86877,0.89263,0.90269,0.40107,1.37494,3.09156,0.98601,1.29656,0.00101,0.00101,0.00101
17,2835.1,1.51431,3.19236,1.25085,1.44267,0.93186,0.92202,0.95884,0.57145,0.91398,0.89535,0.92969,0.39777,1.36877,3.09925,0.83823,1.31737,0.000944,0.000944,0.000944
18,3025.53,1.48772,3.1349,1.22175,1.43614,0.90668,0.87334,0.93074,0.52677,0.8714,0.83745,0.9,0.38684,1.43236,3.04354,0.89612,1.32286,0.000878,0.000878,0.000878
19,3246.07,1.47928,3.1276,1.22499,1.43857,0.88937,0.90327,0.93184,0.53721,0.8618,0.87587,0.89525,0.37942,1.4521,3.19336,0.86873,1.34691,0.000812,0.000812,0.000812
20,3439.53,1.49162,3.15497,1.21714,1.42516,0.88696,0.90449,0.92814,0.57436,0.86584,0.88202,0.89077,0.40756,1.34828,3.01368,0.84807,1.28235,0.000746,0.000746,0.000746
21,3614.14,1.299,2.96169,0.95876,1.38957,0.97123,0.9482,0.9787,0.62209,0.93671,0.91468,0.94365,0.44259,1.32156,2.89375,0.74197,1.25219,0.00068,0.00068,0.00068
22,3806.91,1.24394,2.77193,0.71843,1.33772,0.97752,0.97698,0.98169,0.61292,0.96066,0.96021,0.96861,0.48065,1.29817,2.7878,0.67675,1.22149,0.000614,0.000614,0.000614
23,3993.26,1.23926,2.74703,0.69959,1.3337,0.9661,0.96061,0.98162,0.63644,0.96045,0.95499,0.97362,0.4876,1.3085,2.79258,0.68318,1.21087,0.000548,0.000548,0.000548
24,4171.96,1.16845,2.66306,0.66398,1.31531,0.98198,0.98876,0.98983,0.61851,0.95408,0.96067,0.97101,0.50137,1.33482,2.71876,0.6128,1.22229,0.000482,0.000482,0.000482
25,4347.19,1.18531,2.65812,0.63578,1.31967,0.96496,0.96629,0.9798,0.64463,0.95919,0.94382,0.97067,0.46622,1.27806,2.78558,0.60195,1.22286,0.000416,0.000416,0.000416
26,4522.63,1.13532,2.59706,0.62204,1.28587,0.96658,0.97499,0.98698,0.64048,0.96101,0.96937,0.98072,0.49528,1.26527,2.70737,0.62238,1.21755,0.00035,0.00035,0.00035
27,4698.5,1.14465,2.57295,0.6114,1.27165,0.97795,0.98876,0.9936,0.66358,0.95553,0.96629,0.98643,0.50178,1.20667,2.746,0.57701,1.18176,0.000284,0.000284,0.000284
28,4878.02,1.12879,2.54397,0.58852,1.27495,0.97011,0.98315,0.99264,0.65669,0.95887,0.97191,0.98183,0.53111,1.22012,2.64131,0.57488,1.1591,0.000218,0.000218,0.000218
29,5060.12,1.08848,2.53309,0.57101,1.26267,0.99437,0.99253,0.99472,0.66434,0.97749,0.97585,0.98553,0.51958,1.1969,2.64053,0.56096,1.15655,0.000152,0.000152,0.000152
30,5235.2,1.08805,2.53584,0.56492,1.26166,0.98882,0.99362,0.99461,0.66026,0.97764,0.98239,0.98824,0.52169,1.16692,2.59605,0.55583,1.14597,8.6e-05,8.6e-05,8.6e-05
